"","p.value","HR","Low 95%CI","High 95%CI"
"GPR84",0.773555644636717,1.04150173684655,0.789518143851203,1.37390872686368
"IQGAP1",0.634633143434029,1.06265226470841,0.827073909913768,1.36533122633216
"GNA14",0.414554464512535,1.20287971659406,0.771814134238604,1.87469955317779
"CAPN1",0.000713481594306075,2.40639254611984,1.4471283880989,4.00152822212853
"RNF166",0.118582775053135,1.31826822785591,0.931762032549695,1.86510188209636
"FAR1",0.649387954285061,1.09574302523905,0.738776681220792,1.62519040987596
"AIM2",0.014221746655512,1.33983168437088,1.06042215779577,1.69286253521482
"ID2",0.0736219300905089,1.17044297998486,0.985068262656607,1.39070237193642
"ALOX5AP",0.026397870437853,1.16934034680865,1.01851274570808,1.34250342220703
"CD36",0.0540631342502966,1.13308801624799,0.997820817231269,1.28669239045074
"ARF6",0.0028608854752757,2.04435282624656,1.2777889690324,3.27078929265381
"CSF2RA",0.180023722967399,1.14243649652888,0.940343360746052,1.38796231577122
"PTK2B",0.0168497109225363,1.73543943595476,1.10426900018652,2.72736990294778
"CAPN3",0.249067275928813,0.755201260639061,0.468505794890095,1.2173359439548
"ABAT",0.501861956395374,1.18943387781238,0.716900348429246,1.97343041161517
"PATL1",0.0612304728668629,1.86651321210817,0.971042607523235,3.58776385709831
"STAT2",0.334216438585648,1.26614874445888,0.78428589669938,2.04406664692235
"PGAM1",0.0241304185950261,1.46539676206319,1.05127405278688,2.0426525933677
"CLCN5",1.18195638136017e-05,1.93572257167664,1.44049755118517,2.60119975311
"CXCL16",0.0555463701759615,1.17724506881234,0.996139264196961,1.39127730615078
"DPEP2",0.336959925421805,1.15421515442363,0.861281978047283,1.54677870506659
"TRAFD1",0.200575573202898,1.50691677998533,0.80422329548351,2.8235916499237
"CD55",0.436148605779159,0.869584449224633,0.611735879841335,1.23611698978559
"WSB2",0.140503737238533,1.47220316581424,0.880258332929012,2.46221146719694
"BRAT1",0.0904944907203479,1.38969050371201,0.949387806306439,2.03419475506091
"CDC42EP1",0.00583065438865761,1.3509991086809,1.09088012580561,1.67314313321885
"HTR7",0.000148174715515803,1.5085434313466,1.21988324447135,1.86550909242563
"CSK",3.0680547270886e-05,2.52568931063859,1.63373104889068,3.90462463096698
"SLC2A3",0.300130404947999,0.905775082159341,0.751140390978343,1.09224388584958
"DPYSL2",0.0233376794984804,1.23471669585197,1.02903861618983,1.48150447906453
"S100A12",0.0594377665459688,1.08160566076203,0.996882607003181,1.17352915696795
"MPEG1",0.0189415674161793,1.11056564414434,1.01743189026842,1.21222468231101
"ITGAX",0.000129004012494174,1.35682263304242,1.16058389028584,1.58624264298788
"SPG21",0.0152603276450486,1.87412382197529,1.12828170045323,3.11299926134083
"FGD4",0.0550466897054367,1.19249720054268,0.996203022746989,1.42746964306622
"MS4A4A",0.00855202866374967,1.20491828878419,1.0486074161511,1.38452967267345
"SH3BP1",0.000198344528254329,1.77214115572827,1.31102434210736,2.39544314698067
"GPR35",0.00862570319393105,1.51773642714832,1.11169346910687,2.07208545008687
"CCIN",0.650400420042048,1.11731947868392,0.691554472055496,1.80521255792896
"ARHGAP30",0.000547028870827436,2.01628273642435,1.35476705021503,3.00080819987288
"SNX24",0.140215300674831,1.33152992506449,0.910151344732928,1.94799683767154
"LCP1",0.047924283528792,1.39470323641678,1.0030446542056,1.93929264217255
"LILRA2",0.0156276371396179,1.25488431481087,1.04390662482949,1.50850143691307
"DUSP1",0.900111477933249,1.01362797323205,0.820514523074046,1.25219193472557
"GABBR1",0.905256389438069,1.00923488637138,0.867464896163629,1.17417437912891
"RIN3",0.00855682451533124,1.67071610400103,1.13957275318178,2.44942000620397
"CLEC7A",0.0365616847601668,1.12951386079721,1.00764057685148,1.26612761637631
"CATIP",0.256250656207281,1.83940851132353,0.642304505707556,5.26763184979109
"KLK1",0.13611321464269,1.39045378256419,0.901363688610865,2.14492967253504
"RAP2B",0.76766076892622,1.07445464034106,0.667239884277337,1.73019149687191
"SERPINB8",0.259340075984714,0.898872119920487,0.746864812349498,1.0818170499004
"FGL2",0.0851787621506677,1.10408185132026,0.986371457596879,1.23583942441385
"ZNF467",0.0795458297888948,1.21504973331075,0.977305299575774,1.51062912997543
"VNN2",0.0375321901672402,1.14800510927404,1.0079926476674,1.30746561889027
"CD163L1",0.619668917159625,1.16160206317446,0.642903952836899,2.0987883916674
"COTL1",0.00284763149331159,1.35141295125718,1.10885648986556,1.64702734891064
"AOAH",0.336006818216155,0.925341730146281,0.79004666069075,1.08380600811789
"CHP1",0.221052821845504,1.30464638385691,0.85215078045335,1.99741903188233
"EGR2",0.0216601919500621,1.26766045715415,1.03534651900601,1.55210164436062
"WAS",5.56917459402954e-05,2.20677005482863,1.50171657985184,3.24284498168675
"SYTL3",0.200757887232918,1.1783295009116,0.916410309975995,1.51510780444509
"AKNA",0.212100214479358,1.33094983216591,0.849450824943094,2.08537964026479
"CD101",0.0173256598573576,1.24689900725648,1.0396895139022,1.49540522772209
"SH3TC1",3.2820377633242e-05,1.62509626671253,1.2922780613231,2.04362973815332
"FFAR2",0.00745113223833927,1.36561360310467,1.08695067047521,1.7157177079335
"ITSN1",0.967169921743665,0.989784074013753,0.606981098258317,1.61400827139816
"CFLAR",0.87871348961895,0.962615580032632,0.590099809519769,1.57029156758356
"MARCH1",0.381935864247774,1.09648804740155,0.89192564532318,1.34796666560565
"SEC23B",0.00517265980728535,1.92488977020922,1.21631570016713,3.04624911685921
"GNPDA1",0.276789192957703,1.15716337677851,0.889502089065397,1.50536698791158
"KLHL2",0.0393659431733659,1.44882855660304,1.01822683155309,2.0615290438052
"APOBR",0.0168178716109752,1.32188158116457,1.05155987632936,1.66169416878251
"ELMO2",0.853168918795065,1.05597450436197,0.5931482956711,1.87993822455628
"GPR132",0.00129788143376579,1.55899466495321,1.18941514493713,2.04341131496274
"RAB11FIP1",0.576347204611076,1.07470684357354,0.834694795786417,1.38373307879033
"WWP2",0.070649706112838,1.85808833691678,0.949161154681832,3.63741420596112
"ATP6AP2",0.207276073897256,1.38232469813529,0.83575028209993,2.28635468273326
"GLTP",0.00437917937480496,2.0504740661461,1.2512679226278,3.3601467918301
"IL10RB",0.246059511338839,1.25043543036374,0.857157222405581,1.82415632119483
"SNX8",0.000270296822935492,2.97957356681596,1.6557725285583,5.3617622511218
"NAIP",0.565975771112384,1.0722834787777,0.844915247848291,1.36083691445708
"BEST1",0.251247587135087,1.23525061755019,0.861014955870295,1.77214585850698
"OR52K1",0.562291795464206,0.883858327867379,0.582132017382445,1.34197316143717
"SLC9A9",0.0168373497584662,1.32649123146762,1.0521762354757,1.67232344528762
"IPCEF1",0.805690267396975,1.03477506702921,0.78805819049526,1.35873143920041
"OSCAR",0.313635546854084,1.07774677249154,0.931681027579195,1.24671220217287
"SLC16A6",0.860275180485893,1.03103053236658,0.733664912653793,1.44892298968881
"ARHGAP27",0.00253706054735683,1.73676285538221,1.21364808655695,2.48535407359523
"ATXN1",0.0606334945945146,0.789568931721789,0.616874280724293,1.01060964514246
"PNPLA6",0.000112469656438517,1.91583129040196,1.37740119211354,2.66473526689142
"GCNT2",0.999876287160112,1.00002462147249,0.732563093656903,1.36513735432539
"SEMA4A",0.239224104645892,1.14692299656462,0.912831422897922,1.44104631704365
"COLGALT1",0.174381724605871,1.37860279996267,0.867418621407041,2.19103629223689
"ACSS2",0.181937852301061,1.29776546482298,0.885085402419362,1.90286179964499
"RASSF3",0.116767799165269,1.30879550557639,0.935039555465949,1.8319499591259
"RAB11FIP5",0.150047824693896,1.22574147302504,0.929024374957434,1.61722576844383
"TOMM40L",5.6266566437734e-05,2.8054762847481,1.69828417272533,4.63449952056815
"RARG",0.000232334256635803,1.93765059825318,1.36242883884219,2.75573280150288
"AP2A2",0.312284234610571,1.27274588899151,0.797210381315491,2.03193803782609
"ASAH1",0.623576012612161,0.902443539743359,0.598949184337142,1.35972193254729
"ATP6V0A1",0.204603332126946,1.19323563390399,0.908197874452322,1.56773244913932
"CAST",0.125819636856614,1.20460812773849,0.949149099802454,1.52882275473436
"KCNH3",0.145082617508469,1.32739469875331,0.906887931601585,1.94288249394464
"PCYT1A",0.0612286794049645,2.00896732841368,0.967690499637757,4.17070305861677
"VIPR1",0.0903061218616955,1.29260006395057,0.960469040401128,1.7395822822433
"GPSM3",0.011446400337651,1.61460709670567,1.11378429117453,2.34062923798574
"RCBTB2",0.397416802016768,1.12831120905655,0.853099381193806,1.49230700730451
"NAGK",0.601861625587903,1.11519033599513,0.740411476166598,1.67967343231332
"GLT1D1",0.902099931601392,0.986773941999095,0.798150867000048,1.21997338206033
"SLA",0.0115987541070811,1.3573424475529,1.07067332804753,1.72076624276113
"NAAA",0.190952708605386,1.22332463160852,0.904361215700105,1.65478475670985
"AKIRIN2",0.157554128729286,1.34535754151522,0.891602707456957,2.0300374812391
"STAT6",0.00371409650060205,2.03100821927851,1.25849245955954,3.27772673999221
"TCIRG1",0.00449680949951341,1.35087228055264,1.09775738393165,1.66234902636656
"PTPN6",0.000171681335112741,1.82232633195788,1.33252901757662,2.49215830675606
"RASGRP4",0.00900206350430813,1.32451499879719,1.0726754078254,1.63548075143743
"LDLR",0.00268956864604811,1.40622329792329,1.1255492875536,1.7568879350635
"ODF3B",0.440818030772278,1.07555557779658,0.893715352577014,1.29439401213558
"AQP9",0.236738903226475,1.082880162978,0.949067424242252,1.23555968461094
"EVI5",0.970667918103246,0.993944024834193,0.71902851077931,1.37397155981039
"KLHL18",0.461895803910743,1.24956370097365,0.690233926424638,2.26214531481952
"TK2",0.011576550584976,1.7282559459278,1.1302023932115,2.64277321705852
"CLEC1A",0.749150519597734,1.14406150829466,0.501400164444494,2.6104433695421
"GMIP",0.0579744981310849,1.40749529420508,0.988514640655285,2.00406035655297
"NEDD9",0.0306170490527448,1.48228305671063,1.03746710515607,2.11781467507916
"CES1",0.338423026833539,1.0645786141501,0.936555574633588,1.21010184168638
"PIK3R5",0.00226351701624193,1.60892595606402,1.18564979832944,2.18331140927437
"PRCP",0.970233018338516,1.00899834947985,0.630304795798261,1.61521485484447
"CMIP",0.360528040395601,1.29970119807977,0.740995584589767,2.27966703097856
"SLC9A6",0.0247584707775411,2.15985900232174,1.10275703014185,4.23029804608016
"ALDH3A2",0.370266127340777,1.13563620642801,0.859809540718546,1.4999479911242
"DUSP7",7.67652790841165e-06,2.32615275323873,1.60702371906893,3.36708572947207
"SLC35E4",0.00399963694183189,2.07351861798105,1.26194096373271,3.40703692381661
"PELI1",0.0672137734130803,1.21740941862784,0.986153465338262,1.50289558842182
"PADI4",0.532120389259295,1.0545815146045,0.892638806849905,1.24590390022392
"IER3",0.107699495720054,1.15947496216457,0.968198606964661,1.38853968412661
"NCOR2",0.00121541602101156,2.02149312368587,1.31974677822959,3.09637766616948
"HRH2",0.742304073499441,1.02801213533878,0.871922720942161,1.21204428445432
"IQCE",0.0239586471251247,1.63126522226702,1.06668047695029,2.49467978732104
"CCDC88B",0.00165742973122099,1.44225965042436,1.14801265897006,1.81192505412647
"TRIM3",0.534473806097491,1.16898352494159,0.714268317980551,1.91317806934015
"PFKFB3",0.912878498216642,1.01667998282216,0.755933997947651,1.36736565662819
"COPS7A",0.0345381880698551,2.0349161697715,1.05304237308084,3.93230502765307
"NUMB",0.949918360367799,0.984671894093759,0.608070770886716,1.59451627251267
"SIGLEC14",0.286917503179359,1.09747738433392,0.924799303764713,1.30239783293658
"SH2B3",0.00502595199190114,1.64474365645644,1.16177376689807,2.32849266572485
"METRNL",0.176821575351343,1.15579557511397,0.936763050397238,1.42604195467206
"DNASE1L1",1.47118663837716e-05,2.75747060567791,1.74281329716448,4.3628563963499
"PIK3CD",0.60352416862751,1.1314763304688,0.709887902869586,1.80343781213347
"S100A8",0.0357453533267733,1.08762811256649,1.00561006367278,1.17633559366394
"TMEM154",0.325050834968208,1.1648308922352,0.859599018184171,1.57844643700459
"SFXN3",0.00026432565219141,1.70890730828486,1.28139917971869,2.27904327904326
"SCUBE1",0.250349026773041,1.10987864506682,0.929133874750942,1.32578376512811
"NPC2",0.176845760194459,1.24061626492542,0.9072890526728,1.69640393242193
"ST14",0.00444974367202922,1.29014303064218,1.0824335150169,1.53771018397244
"ABI3",0.000530079794097542,1.39378949666772,1.15513943831541,1.68174429561014
"DTX4",0.0484120660828881,1.24580861427401,1.00153446661467,1.54966120002386
"SRD5A1",0.321861873624939,1.23631874102024,0.812553149277829,1.88108806267793
"MYO1C",0.86208747165305,1.02692363264964,0.760955476069718,1.38585262930377
"S100A9",0.025596019847012,1.08918826072685,1.01047666771733,1.1740311332325
"MARCH2",0.00159953182672069,1.82843031066551,1.25695579742335,2.65972551128176
"TLN1",0.000867594765292792,1.78715050881951,1.26986355625897,2.51515757376573
"ZFP36",0.188664338922839,1.16022830019109,0.92962962061938,1.44802798739076
"SRGAP2B",0.204554071418771,1.52518111776859,0.794532615013391,2.92773059034038
"MRVI1",0.347685742986474,1.21425228128679,0.809745027973856,1.82083069568137
"PITPNM1",0.123289128409002,1.28885078779857,0.933358879881609,1.7797402360598
"PUDP",0.276500093585857,1.20393526045108,0.861847344763508,1.68180608800871
"MTMR3",0.107629678604047,0.538507043639342,0.253359003292328,1.14458074227025
"ATG7",0.591456218119852,0.900815865987027,0.615149348025321,1.31914181006424
"CUEDC1",0.000697927867825284,1.66686022853475,1.24056828948063,2.23963730576583
"NLRP1",0.323603104408328,1.11149305199364,0.901059625924526,1.37107109128604
"C9orf72",0.442608035321402,1.09470537262068,0.868925753156805,1.37915103619712
"GIMAP8",0.11907936915252,1.14162028849041,0.966472630347657,1.34850883736263
"MX2",0.015932507131259,1.38760541413365,1.06313470663848,1.81110519044296
"SIGLEC10",0.0689240881438949,1.19478991488834,0.986294175220419,1.4473602060966
"AGPAT3",0.00148544192316267,1.75013979738564,1.23919542399617,2.47175647285357
"CLEC4E",0.814013714135231,0.980252602740363,0.83017903688838,1.15745534695843
"DENND1A",0.511258853984309,1.15036958254863,0.757379688261772,1.74727444762912
"SCO2",0.0120609726799521,1.42929745947652,1.08145980990045,1.88901261883609
"ARHGAP26",0.597577771007136,1.07789547252179,0.815876676532616,1.42406160526704
"TIMP2",0.754929978918526,0.950085719590676,0.688866655653807,1.31035936659383
"PTPRE",0.385975345875462,1.12301690551446,0.863920265940004,1.45981871220378
"RNPEP",0.00916922600120709,1.6467347860575,1.13157064206316,2.3964349681851
"CLEC4G",0.780271064664826,1.04654546823051,0.760223353417243,1.44070477728759
"EPHB3",0.759768662444295,1.04410718005349,0.791764761229479,1.37687335534662
"LMNA",0.00877275884912455,1.21628587486796,1.05060973008369,1.40808835768681
"MNDA",0.548147148121005,0.963751720337812,0.854343805323602,1.08717049584304
"SGTB",0.136345231391759,1.32744635944527,0.9144268834508,1.92701447113494
"ZNF641",0.112350693562582,1.42454454787116,0.920385607688573,2.20486625596615
"CD300C",0.00169313487466029,1.26079311658522,1.09096306040747,1.45706059216611
"LYZ",0.254689208294701,1.05356564192093,0.963090736095962,1.15253996350937
"CST3",0.748004551955994,1.02255427936629,0.89246926389699,1.17160029655767
