"","dynamicColors","mergedColors"
"UBA52","tan","tan"
"UBA6","blue","black"
"UBA7","grey","grey"
"UBAC1","purple","purple"
"UBAC2","grey","grey"
"UBALD1","brown","pink"
"UBALD2","magenta","pink"
"UBAP1","grey","grey"
"UBAP1L","grey","grey"
"UBAP2","turquoise","turquoise"
"UBAP2L","green","black"
"UBASH3A","greenyellow","greenyellow"
"UBASH3B","grey","grey"
"UBB","grey","grey"
"UBC","yellow","black"
"UBE2A","grey","grey"
"UBE2B","grey","grey"
"UBE2C","midnightblue","cyan"
"UBE2D1","turquoise","turquoise"
"UBE2D2","grey","grey"
"UBE2D3","brown","pink"
"UBE2D4","grey","grey"
"UBE2E1","grey","grey"
"UBE2E2","grey","grey"
"UBE2E3","grey","grey"
"UBE2F","grey","grey"
"UBE2G1","grey","grey"
"UBE2G2","grey","grey"
"UBE2H","grey","grey"
"UBE2I","grey","grey"
"UBE2J1","grey","grey"
"UBE2J2","grey","grey"
"UBE2K","red","black"
"UBE2L3","grey","grey"
"UBE2L6","grey","grey"
"UBE2M","magenta","pink"
"UBE2N","grey","grey"
"UBE2O","purple","purple"
"UBE2Q1","grey","grey"
"UBE2Q2","turquoise","turquoise"
"UBE2R2","grey","grey"
"UBE2S","grey","grey"
"UBE2T","midnightblue","cyan"
"UBE2V1","lightcyan","lightcyan"
"UBE2V2","black","black"
"UBE2W","magenta","pink"
"UBE2Z","grey","grey"
"UBE3A","black","black"
"UBE3B","green","black"
"UBE3C","cyan","cyan"
"UBE3D","turquoise","turquoise"
"UBE4A","blue","black"
"UBE4B","blue","black"
"UBFD1","green","black"
"UBIAD1","green","black"
"UBL3","magenta","pink"
"UBL4A","grey","grey"
"UBL5","magenta","pink"
"UBL7","tan","tan"
"UBLCP1","grey","grey"
"UBN1","grey","grey"
"UBN2","blue","black"
"UBOX5","grey","grey"
"UBP1","grey","grey"
"UBQLN1","black","black"
"UBQLN2","grey","grey"
"UBQLN4","pink","pink"
"UBQLNL","grey","grey"
"UBR1","blue","black"
"UBR2","blue","black"
"UBR3","blue","black"
"UBR4","green","black"
"UBR5","blue","black"
"UBR7","cyan","cyan"
"UBTD1","green","black"
"UBTD2","red","black"
"UBTF","pink","pink"
"UBXN1","red","black"
"UBXN10","purple","purple"
"UBXN11","turquoise","turquoise"
"UBXN2A","red","black"
"UBXN2B","grey","grey"
"UBXN4","black","black"
"UBXN6","magenta","pink"
"UBXN7","blue","black"
"UBXN8","grey","grey"
"UCHL1","grey","grey"
"UCHL3","grey","grey"
"UCHL5","black","black"
"UCK1","magenta","pink"
"UCK2","turquoise","turquoise"
"UCKL1","brown","pink"
"UCN","brown","pink"
"UCP2","turquoise","turquoise"
"UCP3","grey","grey"
"UEVLD","turquoise","turquoise"
"UFC1","tan","tan"
"UFL1","red","black"
"UFM1","red","black"
"UFSP1","grey","grey"
"UFSP2","grey","grey"
"UGCG","salmon","salmon"
"UGDH","black","black"
"UGGT1","black","black"
"UGGT2","grey","grey"
"UGP2","grey","grey"
"UGT2B11","grey","grey"
"UGT2B28","grey","grey"
"UGT3A2","turquoise","turquoise"
"UGT8","grey","grey"
"UHMK1","red","black"
"UHRF1","midnightblue","cyan"
"UHRF1BP1","green","black"
"UHRF1BP1L","grey","grey"
"UHRF2","blue","black"
"UIMC1","grey","grey"
"ULBP3","grey","grey"
"ULK1","brown","pink"
"ULK2","turquoise","turquoise"
"ULK3","brown","pink"
"ULK4","lightcyan","lightcyan"
"UMODL1","grey","grey"
"UMPS","green","black"
"UNC119","turquoise","turquoise"
"UNC119B","turquoise","turquoise"
"UNC13B","grey","grey"
"UNC13D","grey","grey"
"UNC45A","brown","pink"
"UNC50","grey","grey"
"UNC5A","turquoise","turquoise"
"UNC5B","grey","grey"
"UNC5CL","grey","grey"
"UNC93B1","turquoise","turquoise"
"UNG","cyan","cyan"
"UNK","turquoise","turquoise"
"UNKL","brown","pink"
"UPB1","grey","grey"
"UPF1","brown","pink"
"UPF2","green","black"
"UPF3A","yellow","black"
"UPF3B","black","black"
"UPK2","grey","grey"
"UPK3A","turquoise","turquoise"
"UPK3B","grey","grey"
"UPP1","turquoise","turquoise"
"UPP2","grey","grey"
"UPRT","brown","pink"
"UQCC1","yellow","black"
"UQCC2","grey","grey"
"UQCC3","pink","pink"
"UQCR10","blue","black"
"UQCR11","blue","black"
"UQCRB","tan","tan"
"UQCRC1","magenta","pink"
"UQCRC2","tan","tan"
"UQCRFS1","grey","grey"
"UQCRH","tan","tan"
"UQCRHL","grey","grey"
"UQCRQ","blue","black"
"URAD","grey","grey"
"URB1","green","black"
"URB2","green","black"
"URGCP","grey","grey"
"URI1","turquoise","turquoise"
"URM1","magenta","pink"
"UROD","purple","purple"
"UROS","purple","purple"
"USB1","grey","grey"
"USE1","tan","tan"
"USF1","turquoise","turquoise"
"USF2","magenta","pink"
"USF3","blue","black"
"USO1","red","black"
"USP1","cyan","cyan"
"USP10","black","black"
"USP11","pink","pink"
"USP12","blue","black"
"USP13","green","black"
"USP14","tan","tan"
"USP15","tan","tan"
"USP16","grey","grey"
"USP17L7","grey","grey"
"USP18","turquoise","turquoise"
"USP19","brown","pink"
"USP2","grey","grey"
"USP20","brown","pink"
"USP21","brown","pink"
"USP22","grey","grey"
"USP24","blue","black"
"USP25","grey","grey"
"USP27X","grey","grey"
"USP28","grey","grey"
"USP3","turquoise","turquoise"
"USP30","turquoise","turquoise"
"USP31","grey","grey"
"USP32","tan","tan"
"USP33","blue","black"
"USP34","blue","black"
"USP35","grey","grey"
"USP36","grey","grey"
"USP37","blue","black"
"USP38","red","black"
"USP39","grey","grey"
"USP4","grey","grey"
"USP40","grey","grey"
"USP42","grey","grey"
"USP43","grey","grey"
"USP44","grey","grey"
"USP45","grey","grey"
"USP46","green","black"
"USP47","blue","black"
"USP48","grey","grey"
"USP49","yellow","black"
"USP5","pink","pink"
"USP50","grey","grey"
"USP51","yellow","black"
"USP53","grey","grey"
"USP54","grey","grey"
"USP6","grey","grey"
"USP6NL","grey","grey"
"USP7","black","black"
"USP8","magenta","pink"
"USP9X","blue","black"
"USP9Y","grey","grey"
"USPL1","grey","grey"
"UST","grey","grey"
"UTF1","grey","grey"
"UTP11","tan","tan"
"UTP14A","green","black"
"UTP14C","red","black"
"UTP15","green","black"
"UTP18","black","black"
"UTP20","green","black"
"UTP23","black","black"
"UTP3","black","black"
"UTP4","green","black"
"UTP6","black","black"
"UTRN","lightcyan","lightcyan"
"UTS2R","grey","grey"
"UTY","grey","grey"
"UVRAG","grey","grey"
"UVSSA","grey","grey"
"UXS1","turquoise","turquoise"
"UXT","tan","tan"
"VAC14","brown","pink"
"VAMP1","brown","pink"
"VAMP2","grey","grey"
"VAMP3","turquoise","turquoise"
"VAMP4","red","black"
"VAMP5","grey","grey"
"VAMP7","black","black"
"VAMP8","blue","black"
"VANGL1","grey","grey"
"VANGL2","grey","grey"
"VAPA","grey","grey"
"VAPB","yellow","black"
"VARS","pink","pink"
"VARS2","brown","pink"
"VASH1","grey","grey"
"VASH2","grey","grey"
"VASN","grey","grey"
"VASP","yellow","black"
"VAT1","grey","grey"
"VAV1","turquoise","turquoise"
"VAV2","turquoise","turquoise"
"VAV3","grey","grey"
"VBP1","black","black"
"VCAM1","salmon","salmon"
"VCAN","turquoise","turquoise"
"VCL","turquoise","turquoise"
"VCP","grey","grey"
"VCPIP1","blue","black"
"VCPKMT","grey","grey"
"VDAC1","grey","grey"
"VDAC2","tan","tan"
"VDAC3","grey","grey"
"VDR","turquoise","turquoise"
"VEGFA","grey","grey"
"VEGFB","grey","grey"
"VEGFC","salmon","salmon"
"VENTX","grey","grey"
"VEPH1","grey","grey"
"VEZF1","blue","black"
"VEZT","green","black"
"VGLL4","grey","grey"
"VHL","grey","grey"
"VHLL","grey","grey"
"VILL","brown","pink"
"VIM","grey","grey"
"VIPAS39","grey","grey"
"VIPR1","turquoise","turquoise"
"VKORC1","blue","black"
"VKORC1L1","green","black"
"VLDLR","grey","grey"
"VMA21","green","black"
"VMAC","brown","pink"
"VMO1","salmon","salmon"
"VMP1","turquoise","turquoise"
"VN1R1","yellow","black"
"VNN1","turquoise","turquoise"
"VNN2","turquoise","turquoise"
"VNN3","turquoise","turquoise"
"VOPP1","turquoise","turquoise"
"VPREB1","grey","grey"
"VPREB3","greenyellow","greenyellow"
"VPS11","grey","grey"
"VPS13A","grey","grey"
"VPS13B","blue","black"
"VPS13C","blue","black"
"VPS13D","blue","black"
"VPS16","brown","pink"
"VPS18","magenta","pink"
"VPS25","blue","black"
"VPS26A","black","black"
"VPS26B","grey","grey"
"VPS28","magenta","pink"
"VPS29","grey","grey"
"VPS33A","grey","grey"
"VPS33B","grey","grey"
"VPS35","black","black"
"VPS36","red","black"
"VPS37A","blue","black"
"VPS37B","grey","grey"
"VPS37C","turquoise","turquoise"
"VPS37D","grey","grey"
"VPS39","grey","grey"
"VPS41","blue","black"
"VPS45","grey","grey"
"VPS4A","brown","pink"
"VPS4B","red","black"
"VPS50","blue","black"
"VPS51","pink","pink"
"VPS52","brown","pink"
"VPS53","grey","grey"
"VPS54","blue","black"
"VPS72","pink","pink"
"VPS8","blue","black"
"VPS9D1","magenta","pink"
"VRK1","cyan","cyan"
"VRK2","red","black"
"VRK3","grey","grey"
"VSIG1","greenyellow","greenyellow"
"VSIG10","grey","grey"
"VSIG10L","grey","grey"
"VSIG2","turquoise","turquoise"
"VSIG4","turquoise","turquoise"
"VSIG8","grey","grey"
"VSTM1","grey","grey"
"VSTM2L","grey","grey"
"VTA1","black","black"
"VTI1A","blue","black"
"VTI1B","grey","grey"
"VTN","grey","grey"
"VWA1","grey","grey"
"VWA5A","grey","grey"
"VWA7","grey","grey"
"VWA8","green","black"
"VWCE","turquoise","turquoise"
"VWDE","grey","grey"
"VWF","grey","grey"
"WAC","blue","black"
"WAPL","red","black"
"WARS","turquoise","turquoise"
"WARS2","green","black"
"WAS","turquoise","turquoise"
"WASF1","turquoise","turquoise"
"WASF2","grey","grey"
"WASF3","salmon","salmon"
"WASL","grey","grey"
"WBP1","brown","pink"
"WBP11","grey","grey"
